정류소ID,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
1570000400,0.37,0.01,0.03,0.02,0.17,0.57,0.1,0.01,0.1,0.72,0.0,0.0,0.03,0.09,0.0,0.06,0.0,0.09,0.0
3690000760,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7001000100,7.36,13.0,23.25,34.09,26.89,26.69,25.89,29.39,29.08,25.31,29.18,33.03,31.99,33.09,16.4,11.9,10.43,6.52,0.49
7001000200,5.04,10.35,17.55,25.64,20.8,18.5,17.28,19.2,22.94,22.11,23.34,22.23,27.12,28.04,17.94,11.4,8.5,6.89,1.24
7001000300,3.57,8.81,14.49,25.19,20.04,16.28,14.96,18.21,18.93,16.78,20.17,25.38,30.55,32.54,13.72,10.93,9.04,7.41,0.65
7001000400,2.17,4.44,7.84,16.88,11.65,13.07,11.67,13.56,15.7,16.21,19.51,18.46,24.95,30.07,16.55,11.5,10.06,10.33,2.11
7001000500,0.84,0.64,1.31,2.09,1.01,0.96,0.92,0.92,0.82,0.86,1.62,1.31,1.36,2.19,1.25,0.85,0.65,0.79,0.07
7001000600,1.18,2.34,5.94,10.83,9.7,6.02,5.28,6.01,6.2,5.65,5.62,4.92,5.76,6.63,3.82,3.27,2.38,1.93,0.3
7001000700,1.68,2.34,6.01,6.78,4.23,3.69,3.01,4.01,3.8,3.25,3.31,3.63,4.33,5.8,3.74,3.72,2.75,2.09,0.31
7001000800,0.45,0.63,2.72,4.66,2.68,2.27,2.8,3.44,3.53,3.39,5.33,4.27,4.67,5.65,3.17,2.24,2.08,1.92,0.52
7001000900,0.64,1.13,1.42,4.41,5.36,4.28,5.76,5.75,5.32,5.23,5.23,5.86,5.48,5.7,2.38,1.32,1.02,0.75,0.12
7001001000,0.86,1.42,4.82,6.66,6.92,9.82,12.23,10.47,12.68,15.02,16.02,11.69,9.59,9.98,6.34,5.31,3.53,3.3,0.85
7001001100,1.14,1.46,1.93,4.81,6.59,8.71,13.12,13.05,17.51,24.26,27.65,22.1,19.38,24.31,18.82,18.83,6.56,3.97,0.67
7001001300,0.28,2.88,4.73,9.44,8.02,8.16,10.28,10.63,12.63,14.71,17.25,18.13,18.99,18.38,14.0,12.21,10.94,9.26,2.46
7001001400,0.66,2.98,4.51,8.11,8.92,10.07,12.71,14.96,19.95,22.74,27.53,31.87,36.04,45.0,35.08,33.27,32.84,28.55,1.95
7001001500,1.59,4.57,6.75,12.38,12.48,13.36,16.54,19.42,21.32,23.77,26.19,32.16,32.39,35.05,25.87,22.62,24.4,21.09,3.46
7001001600,6.56,20.82,40.35,84.48,69.55,70.52,82.13,94.99,99.27,104.15,115.58,125.87,131.57,150.24,97.89,93.38,90.76,72.28,10.37
7001001700,2.82,9.17,20.42,36.96,25.18,24.44,32.32,33.17,35.76,38.99,46.81,52.02,54.53,58.65,35.19,30.65,27.66,20.42,4.29
7001001800,3.72,10.42,18.87,27.95,27.17,24.52,26.83,28.39,26.84,25.69,26.17,29.96,29.82,32.2,14.51,11.44,10.96,10.12,1.1
7001001900,2.89,8.06,16.23,28.61,22.9,23.09,24.43,27.37,28.17,29.62,34.64,42.01,41.19,45.64,24.23,19.0,18.66,15.98,3.22
7001002000,5.36,11.07,29.65,52.23,36.46,27.94,29.12,36.17,35.16,32.45,36.36,61.36,46.16,51.0,25.93,21.2,28.1,25.46,2.24
7001002100,2.48,8.39,20.86,34.3,18.8,17.09,17.33,21.26,24.58,22.73,27.13,35.38,35.47,43.02,25.03,22.79,26.62,26.22,3.76
7001002200,1.21,4.82,8.99,21.48,7.81,7.88,8.21,9.61,10.02,8.92,12.28,20.32,15.97,14.83,8.33,7.32,8.79,6.89,0.87
7001002300,0.88,4.11,8.5,13.84,10.73,8.34,7.97,10.92,10.79,10.32,11.58,12.43,15.28,18.56,10.47,8.83,5.05,6.25,0.58
7001002400,0.81,2.42,7.75,12.51,8.95,7.65,7.67,8.41,8.95,7.91,9.69,9.45,12.54,15.67,6.56,4.37,3.28,3.24,0.43
7001002500,1.17,2.7,8.77,10.98,5.51,5.79,6.3,7.79,6.68,5.42,7.45,8.44,8.29,8.69,4.93,4.01,3.46,2.71,0.39
7001002600,2.15,4.98,13.09,20.76,15.85,12.48,13.92,18.09,20.91,22.43,25.63,29.8,31.78,36.45,24.53,21.91,19.73,18.4,2.28
7001002700,4.01,7.79,16.71,29.15,22.24,18.34,17.38,24.82,22.57,19.49,24.48,34.8,29.66,26.84,15.65,13.83,13.27,8.43,1.43
7001002800,2.31,6.1,16.05,22.99,12.19,10.18,9.78,11.79,14.56,12.46,18.39,16.52,18.79,21.83,13.8,11.6,10.41,9.17,1.72
7001002900,4.46,8.75,18.48,37.65,24.63,22.24,21.39,25.19,25.34,22.48,29.81,37.24,36.98,34.55,18.99,14.4,15.96,12.79,2.04
7001003000,2.27,6.07,13.27,18.13,13.53,10.82,10.24,11.46,11.55,11.01,13.56,15.68,14.85,16.22,7.16,4.9,5.69,4.03,0.44
7001003100,1.15,2.66,7.33,11.35,8.42,7.12,7.11,9.58,9.83,9.46,13.23,14.65,12.7,14.29,9.7,7.61,7.47,5.09,0.82
7001003200,1.67,5.64,14.05,17.59,15.71,15.45,16.87,20.05,18.44,18.57,19.74,19.05,15.66,19.38,8.84,6.38,6.78,4.2,0.44
7001003300,1.09,5.15,15.65,28.42,15.5,12.49,10.67,12.34,13.09,11.88,13.26,15.37,16.82,21.82,12.03,9.3,9.39,7.28,1.58
7001003400,0.0,0.03,0.09,0.13,0.08,0.13,0.24,0.2,0.19,0.14,0.22,0.18,0.19,0.23,0.13,0.06,0.11,0.23,0.02
7001003500,0.0,0.22,0.1,0.09,0.08,0.12,0.11,0.16,0.21,0.18,0.24,0.18,0.18,0.37,0.12,0.11,0.08,0.12,0.03
7001003600,0.33,0.65,1.12,1.64,1.6,1.94,1.92,2.53,2.35,2.37,3.22,3.31,2.74,2.96,2.05,1.73,1.78,1.91,0.26
7001003700,0.77,2.68,5.37,8.5,5.62,6.6,5.73,6.72,5.07,5.82,6.68,7.01,6.06,7.26,3.45,2.39,2.62,2.31,0.28
7001003800,5.16,18.76,37.92,82.48,69.85,73.98,93.63,131.25,153.29,165.51,190.12,219.12,241.68,264.39,194.59,201.69,205.39,175.73,24.66
7001004100,4.61,16.75,45.11,66.13,57.58,59.66,75.28,92.4,101.85,110.75,127.82,145.64,167.52,190.55,132.55,132.41,144.03,121.14,20.15
7001004300,3.24,15.06,35.13,63.77,49.29,49.16,54.43,70.1,79.5,91.15,111.83,134.86,154.4,136.96,90.5,77.51,72.3,62.02,12.35
7001004600,8.5,21.33,53.58,82.27,82.08,81.41,101.85,119.51,131.71,138.85,166.43,198.23,217.71,222.33,129.62,110.27,97.17,74.69,11.62
7001004700,0.31,1.77,2.19,4.93,3.39,3.09,2.63,3.5,3.72,3.4,3.28,3.76,4.84,4.91,2.73,1.88,1.61,1.35,0.22
7001004800,0.68,1.46,5.34,7.55,5.8,4.24,3.7,4.32,4.18,3.82,4.22,7.02,6.89,8.22,3.4,2.11,2.22,1.53,0.09
7001004900,0.61,1.62,3.4,4.21,3.21,3.14,3.41,3.48,3.92,4.22,4.73,5.74,5.69,7.0,2.63,1.91,2.93,1.23,0.08
7001005000,0.16,0.88,0.93,1.76,1.53,1.46,1.58,1.78,2.28,2.47,2.5,2.91,2.44,3.14,1.4,1.16,1.7,1.24,0.18
7001005100,1.06,4.67,6.76,11.49,8.4,6.57,6.43,8.12,6.1,6.88,8.9,11.75,12.34,14.06,5.27,4.35,3.58,2.83,0.34
7001005200,1.1,7.42,18.3,21.54,20.48,22.67,28.7,38.08,42.41,40.53,37.63,35.13,35.71,27.01,12.14,7.72,5.97,4.58,0.66
7001005300,1.32,2.79,7.11,8.33,11.4,15.26,21.56,25.34,33.28,42.73,46.62,39.34,29.9,22.57,9.3,5.92,4.94,3.61,0.21
7001005400,1.62,4.31,11.5,19.0,14.63,21.19,28.2,34.37,36.64,43.78,51.85,56.63,53.88,37.96,14.49,10.42,9.08,6.48,1.15
7001005500,0.73,2.39,5.89,8.99,8.49,10.21,13.77,18.37,18.23,19.78,22.75,23.79,17.68,13.05,6.67,4.74,4.53,3.06,0.36
7001005600,0.67,0.45,1.41,3.25,2.03,1.21,1.21,0.97,1.14,0.63,0.93,0.72,0.87,0.95,0.41,0.26,0.19,0.12,0.0
7001005700,0.75,0.28,0.55,1.37,1.38,1.37,1.45,1.3,1.87,1.74,2.31,1.79,2.43,1.27,0.46,0.19,0.14,0.08,0.0
7001005800,7.0,19.06,41.55,76.45,65.52,55.2,60.35,73.24,83.26,86.24,90.86,98.94,87.81,88.42,39.25,25.84,24.34,15.06,2.08
7001005900,2.68,13.76,26.28,33.78,24.83,32.95,38.7,46.67,43.44,46.99,58.57,64.01,60.26,53.57,26.52,21.22,19.13,16.87,2.21
7001006000,0.35,1.0,5.61,5.89,5.54,8.11,12.16,14.58,15.78,16.85,18.43,15.89,15.4,13.97,7.73,4.38,4.09,2.33,0.34
7001006100,0.65,3.26,10.25,11.33,8.96,8.65,10.58,13.37,12.78,13.6,15.84,18.7,23.14,22.23,13.71,13.95,15.28,15.49,2.51
7001006200,4.6,10.9,22.92,47.34,37.88,36.9,44.33,53.72,57.59,60.81,67.55,74.63,78.86,90.58,60.2,56.68,53.72,47.69,6.15
7001006300,1.41,4.94,12.0,19.62,16.74,19.71,24.54,27.69,27.76,29.22,36.15,40.54,43.36,42.48,23.98,24.66,22.56,19.05,2.85
7001006400,1.2,2.18,4.51,9.87,7.6,6.92,8.24,8.87,9.78,9.86,10.79,12.37,15.45,15.34,9.83,7.52,7.23,7.37,1.13
7001006500,0.74,2.65,3.3,4.48,5.33,7.11,9.16,9.86,6.66,8.87,13.48,14.2,16.18,13.64,7.35,9.32,9.28,8.22,1.59
7001006600,4.22,10.69,19.48,32.4,30.96,39.38,53.86,68.25,74.54,89.12,113.08,133.28,140.81,152.27,109.88,114.2,121.2,102.42,14.08
7001006700,1.17,2.84,3.23,8.08,7.29,8.58,13.64,18.74,23.69,27.31,33.12,39.51,45.07,47.52,37.54,36.98,40.53,38.21,5.62
7001006800,7.29,15.67,26.69,64.29,44.88,42.36,52.53,70.15,82.2,92.29,110.07,128.29,148.06,171.77,132.93,126.96,142.17,127.15,21.25
7001006900,3.54,9.88,18.25,24.72,22.29,22.08,27.34,33.82,38.22,41.71,53.46,65.9,74.37,84.85,62.42,63.5,78.82,74.47,11.37
7001007000,1.66,2.21,4.88,6.17,3.94,3.19,2.82,2.83,2.65,2.64,3.04,3.98,4.93,5.44,2.95,1.87,1.36,1.21,0.24
7001007100,1.62,3.5,6.17,8.14,6.56,4.78,3.92,4.12,3.36,3.25,2.82,3.51,3.95,4.45,2.09,1.27,1.01,0.62,0.06
7001007200,2.28,5.41,11.29,16.68,12.27,10.18,10.1,11.98,11.96,11.5,11.85,15.18,15.12,16.76,6.69,3.88,2.77,1.65,0.28
7001007300,1.19,4.54,5.98,7.8,5.79,5.24,5.72,6.68,6.29,7.26,7.72,10.64,10.17,8.57,4.77,2.65,2.27,1.71,0.54
7001007400,1.57,8.31,13.27,23.95,11.98,14.35,13.41,12.56,14.07,15.3,17.53,21.51,25.46,25.92,16.35,14.76,12.83,9.2,2.56
7001007500,2.55,7.74,18.76,33.46,24.78,24.07,23.05,25.47,27.24,33.6,37.21,48.36,35.33,44.07,24.42,18.29,16.01,15.04,2.62
7001007600,1.19,6.97,17.21,26.36,25.2,27.44,30.98,31.28,29.23,31.88,41.23,45.09,53.54,54.05,27.24,20.09,20.75,22.21,2.77
7001007700,1.22,4.53,7.13,14.34,14.98,16.62,15.25,16.53,16.44,22.07,23.42,20.57,22.25,23.53,13.47,14.54,15.14,12.77,2.42
7001007800,1.32,1.8,4.72,10.7,9.19,9.99,10.5,14.13,14.56,17.0,18.57,16.88,17.24,21.86,14.78,13.46,10.78,10.02,1.29
7001007900,0.84,2.76,5.93,8.76,9.27,8.93,8.11,10.01,11.58,12.6,14.77,11.18,14.81,18.03,13.77,18.34,4.67,4.33,0.5
7001008000,0.82,2.24,5.34,9.54,8.22,7.1,6.4,7.54,8.52,8.5,8.75,6.69,10.3,11.63,7.03,7.07,4.0,5.03,0.71
7001008100,0.16,0.83,4.13,3.64,2.47,2.2,2.18,2.33,1.94,2.04,2.23,2.24,2.1,2.55,1.21,0.89,0.68,0.41,0.03
7001008200,0.07,0.42,0.38,1.0,0.84,1.05,0.9,1.03,0.91,1.01,1.33,1.68,1.72,1.79,1.0,0.7,0.7,0.68,0.14
7001008300,0.61,1.71,5.45,9.96,7.43,5.59,5.96,6.97,7.94,7.3,7.46,8.89,8.45,11.24,6.08,3.94,4.04,3.82,0.34
7001008400,0.01,0.26,0.5,0.85,0.8,0.81,0.9,1.08,1.47,1.62,1.55,1.51,1.55,2.15,1.37,1.16,1.18,0.84,0.19
7001008500,0.03,0.29,0.68,2.5,1.62,1.98,2.59,3.01,3.82,5.11,5.59,6.69,6.04,7.24,3.84,2.86,2.96,3.27,0.76
7001008600,0.02,0.18,0.85,1.81,2.05,1.93,2.12,2.04,2.09,2.0,2.22,3.05,2.45,2.7,1.62,1.07,0.95,0.72,0.29
7001008700,0.17,1.35,1.86,3.03,2.75,2.37,2.28,2.65,2.68,3.07,3.02,3.09,3.04,3.51,2.49,2.04,1.19,0.63,0.05
7001008800,0.05,0.32,1.39,0.97,0.84,1.17,1.43,1.15,1.47,1.29,1.72,1.79,2.15,2.74,1.57,0.9,0.64,0.74,0.13
7001008900,0.01,0.09,0.29,0.55,0.72,0.69,0.7,0.82,0.94,1.1,1.11,1.06,0.98,1.64,0.95,0.83,0.4,0.22,0.02
7001009000,0.72,1.56,4.28,6.86,5.21,4.79,4.8,4.41,4.68,4.58,4.62,3.95,5.24,5.86,3.75,2.84,2.58,2.69,0.22
7001009100,0.06,0.4,0.98,1.59,1.98,1.81,2.45,2.17,2.1,1.89,2.21,2.19,2.89,2.61,2.11,1.63,1.72,1.61,0.48
7001009200,1.05,2.12,4.82,10.45,6.21,6.07,5.02,5.62,6.14,5.07,4.95,4.85,5.34,6.54,3.09,2.12,2.26,1.94,0.15
7001009300,0.08,1.11,1.49,3.52,2.47,2.16,2.95,3.2,3.18,2.85,4.09,4.27,5.06,6.04,4.77,3.37,2.63,2.16,0.48
7001009400,1.16,3.46,5.31,8.02,10.67,11.55,12.95,14.59,11.65,12.69,17.16,19.05,20.7,18.82,10.77,10.42,11.13,11.64,1.92
7001009500,1.13,2.64,3.37,7.36,4.68,5.27,5.3,9.09,9.83,10.57,12.62,12.71,15.58,16.78,12.68,12.85,13.88,15.63,4.35
7001009600,0.94,3.64,7.48,13.32,12.65,10.55,10.38,10.75,11.92,13.07,14.21,15.19,18.24,22.43,9.14,5.99,6.79,5.52,0.64
7001009700,2.91,7.18,15.79,24.89,21.19,20.25,21.48,21.99,19.01,21.84,29.48,29.75,32.32,28.39,16.73,11.17,13.52,16.06,1.69
7001009800,2.19,8.37,17.57,29.12,28.17,32.49,32.87,32.9,29.73,37.6,47.87,44.21,49.76,44.81,25.48,21.3,18.72,22.26,2.84
7001009900,2.21,7.21,18.05,31.07,22.36,20.11,20.98,21.13,21.61,24.8,30.09,31.55,42.39,48.86,23.28,17.09,17.6,14.13,1.89
7001010000,2.93,10.45,24.14,38.3,31.95,28.55,32.36,33.44,36.22,37.18,39.42,41.19,50.82,63.5,25.12,19.94,20.14,15.27,2.07
7001010100,1.36,4.82,9.37,13.74,11.55,8.96,9.62,9.75,11.08,10.49,12.78,17.08,16.04,17.85,9.9,8.02,7.5,5.45,0.76
7001010200,1.87,5.77,13.18,23.23,14.68,12.7,13.46,14.01,15.19,14.18,13.43,13.87,15.44,15.97,8.79,6.17,6.28,3.81,0.66
7001010300,0.62,0.56,0.78,2.92,2.69,1.52,2.0,1.72,2.14,2.23,2.91,3.29,3.98,6.62,2.79,2.48,2.63,3.62,0.86
7001010400,0.41,1.63,3.23,5.29,4.06,3.35,4.12,4.33,4.24,4.37,4.5,5.41,5.59,6.69,4.13,2.72,2.63,2.31,0.42
7001010500,1.77,4.84,7.95,12.09,16.98,21.56,25.55,29.61,29.88,35.54,38.55,37.47,40.97,37.78,20.33,18.57,10.85,8.2,1.11
7001010600,2.32,8.35,13.24,21.19,19.11,34.24,42.23,41.87,40.82,42.99,49.91,49.12,42.91,40.29,20.2,23.61,15.75,11.91,2.67
7001010700,0.55,2.59,3.59,6.75,4.82,4.25,5.29,5.77,5.46,6.23,6.02,5.39,6.25,5.87,2.98,2.51,2.05,2.08,0.3
7001010800,1.96,5.67,8.34,12.35,10.06,8.93,8.25,8.68,8.64,8.48,9.88,9.47,10.6,13.41,5.46,3.45,2.42,2.22,0.35
7001010900,0.05,0.17,0.37,0.6,0.3,0.49,0.77,0.72,0.66,0.66,0.68,0.61,0.59,0.76,0.42,0.41,0.37,0.37,0.01
7001011000,0.12,0.93,1.24,2.17,1.87,1.84,1.48,1.72,1.54,1.46,1.42,1.62,2.8,2.37,1.02,0.7,0.65,0.54,0.07
7001011100,0.69,0.99,1.63,2.15,1.77,1.61,1.56,1.63,1.62,1.64,1.46,1.39,1.72,2.06,1.14,0.9,0.73,0.5,0.04
7001011200,0.07,1.15,1.33,2.78,2.44,1.97,2.06,2.38,2.34,2.59,2.99,3.58,4.96,6.24,2.46,2.42,1.61,1.11,0.22
7001011300,0.9,1.42,3.33,3.05,2.8,3.19,2.55,2.82,2.9,3.07,2.57,2.71,3.71,6.93,3.15,1.79,1.36,0.64,0.04
7001011400,2.22,6.58,16.67,23.12,19.37,15.73,19.32,20.08,21.3,22.35,24.57,31.3,32.79,48.26,17.27,13.21,11.99,8.22,0.52
7001011500,1.28,6.59,10.08,14.85,14.62,13.83,15.31,16.18,15.16,17.37,21.23,22.65,25.63,36.0,12.75,9.93,9.34,8.01,1.18
7001011600,0.78,4.76,6.41,8.61,6.89,6.2,6.6,8.32,7.24,9.6,11.23,14.31,14.03,11.48,4.36,4.04,4.32,2.01,0.35
7001011700,0.36,1.76,4.72,7.94,7.05,6.22,8.51,9.2,9.13,10.56,12.51,12.25,13.38,16.24,8.44,7.6,7.61,5.53,0.4
7001011800,2.17,2.75,5.05,11.26,7.8,7.27,8.52,9.2,10.24,11.4,12.47,14.55,14.73,15.46,10.6,8.56,8.48,5.79,1.51
7001012000,0.02,0.03,0.02,0.06,0.37,0.64,0.78,0.09,0.41,0.96,1.38,0.65,0.07,1.32,0.54,0.28,0.01,0.0,0.0
7001012200,2.21,9.25,21.8,30.68,25.01,23.7,23.29,26.78,25.78,24.95,24.75,25.05,30.8,32.93,16.5,11.19,10.07,6.65,0.92
7001012300,1.02,3.38,7.83,13.52,12.84,12.3,13.53,13.08,15.22,18.92,20.24,18.56,18.6,25.39,17.97,15.45,11.37,10.97,1.24
7001012400,0.0,0.08,0.44,0.27,0.3,0.18,0.23,0.24,0.17,0.28,0.22,0.24,0.27,0.28,0.21,0.07,0.12,0.05,0.0
7001012500,0.01,0.41,0.04,0.16,0.16,0.21,0.42,0.35,0.3,0.4,0.39,0.49,0.49,0.66,0.25,0.24,0.76,0.88,0.02
7001012600,0.0,0.03,0.41,0.23,0.19,0.25,0.26,0.31,0.24,0.26,0.3,0.3,0.24,0.27,0.14,0.08,0.05,0.09,0.02
7001012700,0.63,3.32,5.09,8.62,7.75,11.02,12.25,11.94,11.75,10.35,12.41,13.29,11.05,14.36,4.69,3.53,3.34,2.56,0.4
